diapolo	159
gavinandresen	122
sipa	107
jgarzik	94
gmaxwell	87
luke-jr	87
laanwj	85
petertodd	50
thebluematt	41
mikehearn	33
rebroad	31
sergiodemianlerner	15
codeshark	12
jonasschnelli	12
wtogami	11
qubez	9
schildbach	8
dooglus	6
theuni	6
bitcoinpulltester	5
edam	5
goonie	5
johndillon	5
nemysis	5
toffoo	5
cozz	4
rdponticelli	4
rofl0r	4
sje397	4
suffice	4
allthingsbitcoin	3
brandondahler	3
denis2342	3
drak	3
idiotsabound	3
jrmithdobbs	3
kyledrake	3
lohoris	3
p2k	3
paraboul	3
paraipan	3
robbak	3
roconnor	3
vladgiurgiubv	3
xanatos	3
xcaninox	3
63	2
aperson241	2
bluematt	2
cjastram	2
dacoinminster	2
echo	2
falinatecas	2
fanquake	2
gruez	2
gyver	2
hrobbins	2
jeffmendoza	2
kuzetsa	2
l2g	2
m4v3r	2
mikegogulski	2
pentarh	2
pstratem	2
sje1	2
slothbag	2
soulhunter	2
soundasleep	2
tcatm	2
turkeyman	2
vinniefalco	2
wumpus	2
2.0.11	1
2.2.0	1
3.2.2	1
adrelanos	1
aeyoun	1
ag346	1
ahdinosaur	1
alanast1	1
alexgenaud	1
anarcat	1
apoelstra	1
ashleyholman	1
awishformore	1
bitcoinstarter	1
bobalot	1
boltblit	1
bondbeau	1
burger2	1
bytemaster	1
casascius	1
cjdelisle	1
clopez	1
coderrr	1
cryddit	1
diapolo?	1
doublec	1
dscotese	1
eldentyrell	1
enelar	1
eurekafag	1
forrestv	1
fredan	1
frespa81	1
gavin	1
graingert	1
grayleonard	1
hank	1
imton	1
interfect	1
jbreher	1
jeremysawicki	1
jevonx	1
jmack	1
joelkatz	1
keo	1
keystrike	1
kjj	1
lachesis	1
lano1106	1
lzrloveyou	1
maaku	1
mai77	1
makomk	1
matoking	1
mazo	1
medicinebottle	1
midnightmagic	1
mikehern	1
molecular	1
msva	1
narufgt	1
neofutur	1
nikolajsheller	1
nmarley	1
pascalbokbok	1
petertodd)	1
philip	1
piratelinux	1
plaid	1
poes	1
polyergic	1
prusnak	1
pszturmaj	1
robzrob	1
roques	1
runeksvendsen	1
ryepdx	1
satoshiroulette	1
schmollen	1
shadders	1
simondlr	1
sip	1
sjors	1
skruger	1
squeezle42	1
srs96	1
ssokolow	1
stuhood	1
substrata	1
super3	1
thepiachu	1
timsk	1
timwi	1
tobypinder	1
wakimiko	1
weex	1
whitslack	1
wizeman	1
wowus	1
xmj	1
